z,population
z000228,4121898.5656
z000229,2112833.9436
z000230,2862242.6394
z000231,3559558.3528
z000232,4284332.602
z000233,1999603.9403
z000234,2749012.6362
z000235,3923595.167
z000236,4648369.4161
z000237,2627155.1053
z000238,3376563.8011
z000239,4073879.5145
z000240,4798653.7637
z000241,2232415.5022
z000242,2981824.198
z000243,3401017.5964
z000244,4125791.8456
z000245,2551822.5991
z000246,3301231.2949
z000247,3563451.6328
z000248,4288225.882
z000249,2758886.3527
z000250,3508295.0485
z000251,3927488.4469
z000252,4652262.6961
z000253,3066143.7608
z000254,3815552.4566
z000255,4077772.7945
z000256,4802547.0436
z000257,990705.5306
z000258,2291433.1038
z000259,2683001.7521
z000260,3853184.5076
z000261,1772078.1081
z000262,3072805.6812
z000263,3106871.171
z000264,4277053.9265
z000265,1551551.3949
z000266,2852278.9681
z000267,3243847.6164
z000268,4414030.3719
z000269,2289722.33
z000270,3590449.9031
z000271,3624515.3929
z000272,4794698.1484
z000273,1428495.1366
z000274,2727610.1291
z000275,2688809.4846
z000276,3858992.2401
z000277,2062857.8507
z000278,3361972.8432
z000279,3111083.2896
z000280,4281266.0451
z000281,1989341.0009
z000282,3288455.9934
z000283,3249655.3489
z000284,4419838.1044
z000285,2580502.0725
z000286,3879617.065
z000287,3628727.5115
z000288,4798910.267
z000289,1386617.3425
z000290,2687344.9156
z000291,2874214.7528
z000292,4044397.5083
z000293,1779955.4
z000294,3080682.9731
z000295,3112378.6272
z000296,4282561.3828
z000297,1913088.193
z000298,3213815.7661
z000299,3400685.6033
z000300,4570868.3589
z000301,2294276.5616
z000302,3595004.1348
z000303,3626699.7889
z000304,4796882.5444
z000305,1693222.8369
z000306,2992337.8294
z000307,2878108.0328
z000308,4048290.7883
z000309,2068046.4683
z000310,3367161.4608
z000311,3116271.9072
z000312,4286454.6628
z000313,2219693.6874
z000314,3518808.6799
z000315,3404578.8833
z000316,4574761.6388
z000317,2582367.6299
z000318,3881482.6224
z000319,3630593.0689
z000320,4800775.8244
z000321,1227399.154
z000322,2528126.7272
z000323,2780738.4255
z000324,3950921.181
z000325,1772078.1081
z000326,3072805.6812
z000327,3106871.171
z000328,4277053.9265
z000329,1788245.0183
z000330,3088972.5915
z000331,3341584.2898
z000332,4511767.0453
z000333,2289722.33
z000334,3590449.9031
z000335,3624515.3929
z000336,4794698.1484
z000337,1664359.0664
z000338,2963474.0589
z000339,2786546.158
z000340,3956728.9135
z000341,2062857.8507
z000342,3361972.8432
z000343,3111083.2896
z000344,4281266.0451
z000345,2225204.9307
z000346,3524319.9232
z000347,3347392.0223
z000348,4517574.7778
z000349,2580502.0725
z000350,3879617.065
z000351,3628727.5115
z000352,4798910.267
z000353,1558461.5635
z000354,2859189.1366
z000355,2949944.5908
z000356,4120127.3464
z000357,1779955.4
z000358,3080682.9731
z000359,3112378.6272
z000360,4282561.3828
z000361,2084932.414
z000362,3385659.9872
z000363,3476415.4414
z000364,4646598.1969
z000365,2294276.5616
z000366,3595004.1348
z000367,3626699.7889
z000368,4796882.5444
z000369,1865067.0579
z000370,3164182.0504
z000371,2953837.8708
z000372,4124020.6264
z000373,2068046.4683
z000374,3367161.4608
z000375,3116271.9072
z000376,4286454.6628
z000377,2391537.9084
z000378,3690652.9009
z000379,3480308.7214
z000380,4650491.4769
z000381,2582367.6299
z000382,3881482.6224
z000383,3630593.0689
z000384,4800775.8244
z000385,1572548.8905
z000386,2321957.5863
z000387,3130181.4777
z000388,3854955.7268
z000389,2353921.4679
z000390,3103330.1638
z000391,3554050.8966
z000392,4278825.1458
z000393,2133394.7548
z000394,2882803.4506
z000395,3691027.342
z000396,4415801.5911
z000397,2871565.6898
z000398,3620974.3856
z000399,4071695.1185
z000400,4796469.3676
z000401,1990193.4164
z000402,2739602.1122
z000403,3135989.2102
z000404,3860763.4593
z000405,2624556.1304
z000406,3373964.8262
z000407,3558263.0152
z000408,4283037.2644
z000409,2551039.2807
z000410,3300447.9765
z000411,3696835.0745
z000412,4421609.3236
z000413,3142200.3523
z000414,3891609.0481
z000415,4075907.2371
z000416,4800681.4862
z000417,1968460.7023
z000418,2717869.3982
z000419,3321394.4784
z000420,4046168.7275
z000421,2361798.7598
z000422,3111207.4556
z000423,3559558.3528
z000424,4284332.602
z000425,2494931.5529
z000426,3244340.2487
z000427,3847865.3289
z000428,4572639.5781
z000429,2876119.9215
z000430,3625528.6173
z000431,4073879.5145
z000432,4798653.7637
z000433,2254921.1166
z000434,3004329.8125
z000435,3325287.7583
z000436,4050062.0075
z000437,2629744.748
z000438,3379153.4438
z000439,3563451.6328
z000440,4288225.882
z000441,2781391.9672
z000442,3530800.663
z000443,3851758.6089
z000444,4576532.8581
z000445,3144065.9097
z000446,3893474.6055
z000447,4077772.7945
z000448,4802547.0436
z000449,1809242.5139
z000450,2558651.2097
z000451,3227918.151
z000452,3952692.4002
z000453,2353921.4679
z000454,3103330.1638
z000455,3554050.8966
z000456,4278825.1458
z000457,2370088.3782
z000458,3119497.074
z000459,3788764.0153
z000460,4513538.2645
z000461,2871565.6898
z000462,3620974.3856
z000463,4071695.1185
z000464,4796469.3676
z000465,2226057.3462
z000466,2975466.042
z000467,3233725.8836
z000468,3958500.1327
z000469,2624556.1304
z000470,3373964.8262
z000471,3558263.0152
z000472,4283037.2644
z000473,2786903.2105
z000474,3536311.9063
z000475,3794571.7479
z000476,4519345.997
z000477,3142200.3523
z000478,3891609.0481
z000479,4075907.2371
z000480,4800681.4862
z000481,2140304.9233
z000482,2889713.6192
z000483,3397124.3164
z000484,4121898.5656
z000485,2361798.7598
z000486,3111207.4556
z000487,3559558.3528
z000488,4284332.602
z000489,2666775.7739
z000490,3416184.4697
z000491,3923595.167
z000492,4648369.4161
z000493,2876119.9215
z000494,3625528.6173
z000495,4073879.5145
z000496,4798653.7637
z000497,2426765.3377
z000498,3176174.0335
z000499,3401017.5964
z000500,4125791.8456
z000501,2629744.748
z000502,3379153.4438
z000503,3563451.6328
z000504,4288225.882
z000505,2953236.1882
z000506,3702644.884
z000507,3927488.4469
z000508,4652262.6961
z000509,3144065.9097
z000510,3893474.6055
z000511,4077772.7945
z000512,4802547.0436
z000513,91932.9248
z000514,1392660.4979
z000515,2756475.3905
z000516,3926658.146
z000517,1615046.2166
z000518,2915773.7898
z000519,3180344.8095
z000520,4350527.565
z000521,652778.7891
z000522,1953506.3622
z000523,3317321.2548
z000524,4487504.0103
z000525,2132690.4385
z000526,3433418.0116
z000527,3697989.0313
z000528,4868171.7869
z000529,1148511.349
z000530,2447626.3415
z000531,2762283.123
z000532,3932465.8786
z000533,2076868.6265
z000534,3375983.619
z000535,3184556.928
z000536,4354739.6836
z000537,1709357.2133
z000538,3008472.2058
z000539,3323128.9873
z000540,4493311.7429
z000541,2594512.8484
z000542,3893627.8409
z000543,3702201.1499
z000544,4872383.9054
z000545,615081.4172
z000546,1915808.9904
z000547,2947688.3912
z000548,4117871.1468
z000549,1622923.5085
z000550,2923651.0816
z000551,3185852.2657
z000552,4356035.0212
z000553,1141552.2678
z000554,2442279.8409
z000555,3474159.2418
z000556,4644341.9973
z000557,2137244.6702
z000558,3437972.2433
z000559,3700173.4273
z000560,4870356.1829
z000561,1432360.5434
z000562,2731475.5359
z000563,2951581.6712
z000564,4121764.4267
z000565,2082057.2441
z000566,3381172.2366
z000567,3189745.5457
z000568,4359928.3012
z000569,1958831.394
z000570,3257946.3865
z000571,3478052.5217
z000572,4648235.2773
z000573,2596378.4058
z000574,3895493.3983
z000575,3704066.7073
z000576,4874249.4629
z000577,578175.4944
z000578,1878903.0675
z000579,2854212.0639
z000580,4024394.8194
z000581,1615046.2166
z000582,2915773.7898
z000583,3180344.8095
z000584,4350527.565
z000585,1139021.3587
z000586,2439748.9318
z000587,3415057.9282
z000588,4585240.6837
z000589,2132690.4385
z000590,3433418.0116
z000591,3697989.0313
z000592,4868171.7869
z000593,1561942.1557
z000594,2861057.1482
z000595,2860019.7964
z000596,4030202.5519
z000597,2076868.6265
z000598,3375983.619
z000599,3184556.928
z000600,4354739.6836
z000601,2122788.02
z000602,3421903.0125
z000603,3420865.6607
z000604,4591048.4162
z000605,2594512.8484
z000606,3893627.8409
z000607,3702201.1499
z000608,4872383.9054
z000609,983222.6547
z000610,2283950.2279
z000611,3023418.2293
z000612,4193600.9848
z000613,1622923.5085
z000614,2923651.0816
z000615,3185852.2657
z000616,4356035.0212
z000617,1509693.5052
z000618,2810421.0784
z000619,3549889.0798
z000620,4720071.8354
z000621,2137244.6702
z000622,3437972.2433
z000623,3700173.4273
z000624,4870356.1829
z000625,1762650.1472
z000626,3061765.1397
z000627,3027311.5093
z000628,4197494.2648
z000629,2082057.2441
z000630,3381172.2366
z000631,3189745.5457
z000632,4359928.3012
z000633,2289120.9977
z000634,3588235.9903
z000635,3553782.3598
z000636,4723965.1153
z000637,2596378.4058
z000638,3895493.3983
z000639,3704066.7073
z000640,4874249.4629
z000641,673776.2846
z000642,1423184.9804
z000643,3203655.1161
z000644,3928429.3653
z000645,2196889.5765
z000646,2946298.2723
z000647,3627524.535
z000648,4352298.7842
z000649,1234622.1489
z000650,1984030.8448
z000651,3764500.9804
z000652,4489275.2296
z000653,2714533.7984
z000654,3463942.4942
z000655,4145168.7569
z000656,4869943.0061
z000657,1710209.6287
z000658,2459618.3246
z000659,3209462.8486
z000660,3934237.0978
z000661,2638566.9063
z000662,3387975.6021
z000663,3631736.6536
z000664,4356510.9028
z000665,2271055.493
z000666,3020464.1889
z000667,3770308.7129
z000668,4495082.9621
z000669,3156211.1281
z000670,3905619.8239
z000671,4149380.8755
z000672,4874155.1247
z000673,1196924.7771
z000674,1946333.4729
z000675,3394868.1168
z000676,4119642.366
z000677,2204766.8684
z000678,2954175.5642
z000679,3633031.9913
z000680,4357806.2404
z000681,1723395.6276
z000682,2472804.3235
z000683,3921338.9673
z000684,4646113.2165
z000685,2719088.03
z000686,3468496.7258
z000687,4147353.1529
z000688,4872127.4021
z000689,1994058.8232
z000690,2743467.519
z000691,3398761.3968
z000692,4123535.646
z000693,2643755.5239
z000694,3393164.2197
z000695,3636925.2712
z000696,4361699.5204
z000697,2520529.6737
z000698,3269938.3695
z000699,3925232.2473
z000700,4650006.4965
z000701,3158076.6855
z000702,3907485.3813
z000703,4151246.4329
z000704,4876020.6821
z000705,1160018.8542
z000706,1909427.5501
z000707,3301391.7895
z000708,4026166.0386
z000709,2196889.5765
z000710,2946298.2723
z000711,3627524.535
z000712,4352298.7842
z000713,1720864.7185
z000714,2470273.4144
z000715,3862237.6538
z000716,4587011.9029
z000717,2714533.7984
z000718,3463942.4942
z000719,4145168.7569
z000720,4869943.0061
z000721,2123640.4355
z000722,2873049.1313
z000723,3307199.522
z000724,4031973.7712
z000725,2638566.9063
z000726,3387975.6021
z000727,3631736.6536
z000728,4356510.9028
z000729,2684486.2998
z000730,3433894.9956
z000731,3868045.3863
z000732,4592819.6355
z000733,3156211.1281
z000734,3905619.8239
z000735,4149380.8755
z000736,4874155.1247
z000737,1565066.0146
z000738,2314474.7104
z000739,3470597.9549
z000740,4195372.204
z000741,2204766.8684
z000742,2954175.5642
z000743,3633031.9913
z000744,4357806.2404
z000745,2091536.8651
z000746,2840945.5609
z000747,3997068.8054
z000748,4721843.0546
z000749,2719088.03
z000750,3468496.7258
z000751,4147353.1529
z000752,4872127.4021
z000753,2324348.427
z000754,3073757.1228
z000755,3474491.2348
z000756,4199265.484
z000757,2643755.5239
z000758,3393164.2197
z000759,3636925.2712
z000760,4361699.5204
z000761,2850819.2775
z000762,3600227.9733
z000763,4000962.0854
z000764,4725736.3346
z000765,3158076.6855
z000766,3907485.3813
z000767,4151246.4329
z000768,4876020.6821
z000769,1082638.4554
z000770,2383366.0285
z000771,2756475.3905
z000772,3926658.146
z000773,1864011.0328
z000774,3164738.606
z000775,3180344.8095
z000776,4350527.565
z000777,1643484.3197
z000778,2944211.8928
z000779,3317321.2548
z000780,4487504.0103
z000781,2381655.2547
z000782,3682382.8279
z000783,3697989.0313
z000784,4868171.7869
z000785,1520428.0614
z000786,2819543.0539
z000787,2762283.123
z000788,3932465.8786
z000789,2154790.7754
z000790,3453905.7679
z000791,3184556.928
z000792,4354739.6836
z000793,2081273.9257
z000794,3380388.9182
z000795,3323128.9873
z000796,4493311.7429
z000797,2672434.9973
z000798,3971549.9898
z000799,3702201.1499
z000800,4872383.9054
z000801,1478550.2672
z000802,2779277.8404
z000803,2947688.3912
z000804,4117871.1468
z000805,1871888.3247
z000806,3172615.8979
z000807,3185852.2657
z000808,4356035.0212
z000809,2005021.1178
z000810,3305748.6909
z000811,3474159.2418
z000812,4644341.9973
z000813,2386209.4864
z000814,3686937.0595
z000815,3700173.4273
z000816,4870356.1829
z000817,1785155.7617
z000818,3084270.7542
z000819,2951581.6712
z000820,4121764.4267
z000821,2159979.393
z000822,3459094.3856
z000823,3189745.5457
z000824,4359928.3012
z000825,2311626.6122
z000826,3610741.6047
z000827,3478052.5217
z000828,4648235.2773
z000829,2674300.5547
z000830,3973415.5472
z000831,3704066.7073
z000832,4874249.4629
z000833,1319332.0788
z000834,2620059.6519
z000835,2854212.0639
z000836,4024394.8194
z000837,1864011.0328
z000838,3164738.606
z000839,3180344.8095
z000840,4350527.565
z000841,1880177.9431
z000842,3180905.5162
z000843,3415057.9282
z000844,4585240.6837
z000845,2381655.2547
z000846,3682382.8279
z000847,3697989.0313
z000848,4868171.7869
z000849,1756291.9912
z000850,3055406.9837
z000851,2860019.7964
z000852,4030202.5519
z000853,2154790.7754
z000854,3453905.7679
z000855,3184556.928
z000856,4354739.6836
z000857,2317137.8555
z000858,3616252.848
z000859,3420865.6607
z000860,4591048.4162
z000861,2672434.9973
z000862,3971549.9898
z000863,3702201.1499
z000864,4872383.9054
z000865,1650394.4883
z000866,2951122.0614
z000867,3023418.2293
z000868,4193600.9848
z000869,1871888.3247
z000870,3172615.8979
z000871,3185852.2657
z000872,4356035.0212
z000873,2176865.3388
z000874,3477592.9119
z000875,3549889.0798
z000876,4720071.8354
z000877,2386209.4864
z000878,3686937.0595
z000879,3700173.4273
z000880,4870356.1829
z000881,1956999.9827
z000882,3256114.9752
z000883,3027311.5093
z000884,4197494.2648
z000885,2159979.393
z000886,3459094.3856
z000887,3189745.5457
z000888,4359928.3012
z000889,2483470.8332
z000890,3782585.8257
z000891,3553782.3598
z000892,4723965.1153
z000893,2674300.5547
z000894,3973415.5472
z000895,3704066.7073
z000896,4874249.4629
z000897,1664481.8153
z000898,2413890.5111
z000899,3203655.1161
z000900,3928429.3653
z000901,2445854.3927
z000902,3195263.0885
z000903,3627524.535
z000904,4352298.7842
z000905,2225327.6796
z000906,2974736.3754
z000907,3764500.9804
z000908,4489275.2296
z000909,2963498.6146
z000910,3712907.3104
z000911,4145168.7569
z000912,4869943.0061
z000913,2082126.3411
z000914,2831535.037
z000915,3209462.8486
z000916,3934237.0978
z000917,2716489.0552
z000918,3465897.751
z000919,3631736.6536
z000920,4356510.9028
z000921,2642972.2054
z000922,3392380.9013
z000923,3770308.7129
z000924,4495082.9621
z000925,3234133.2771
z000926,3983541.9729
z000927,4149380.8755
z000928,4874155.1247
z000929,2060393.6271
z000930,2809802.3229
z000931,3394868.1168
z000932,4119642.366
z000933,2453731.6846
z000934,3203140.3804
z000935,3633031.9913
z000936,4357806.2404
z000937,2586864.4776
z000938,3336273.1735
z000939,3921338.9673
z000940,4646113.2165
z000941,2968052.8463
z000942,3717461.5421
z000943,4147353.1529
z000944,4872127.4021
z000945,2346854.0414
z000946,3096262.7372
z000947,3398761.3968
z000948,4123535.646
z000949,2721677.6728
z000950,3471086.3686
z000951,3636925.2712
z000952,4361699.5204
z000953,2873324.892
z000954,3622733.5878
z000955,3925232.2473
z000956,4650006.4965
z000957,3235998.8345
z000958,3985407.5303
z000959,4151246.4329
z000960,4876020.6821
z000961,1901175.4387
z000962,2650584.1345
z000963,3301391.7895
z000964,4026166.0386
z000965,2445854.3927
z000966,3195263.0885
z000967,3627524.535
z000968,4352298.7842
z000969,2462021.303
z000970,3211429.9988
z000971,3862237.6538
z000972,4587011.9029
z000973,2963498.6146
z000974,3712907.3104
z000975,4145168.7569
z000976,4869943.0061
z000977,2317990.2709
z000978,3067398.9667
z000979,3307199.522
z000980,4031973.7712
z000981,2716489.0552
z000982,3465897.751
z000983,3631736.6536
z000984,4356510.9028
z000985,2878836.1352
z000986,3628244.8311
z000987,3868045.3863
z000988,4592819.6355
z000989,3234133.2771
z000990,3983541.9729
z000991,4149380.8755
z000992,4874155.1247
z000993,2232237.8481
z000994,2981646.5439
z000995,3470597.9549
z000996,4195372.204
z000997,2453731.6846
z000998,3203140.3804
z000999,3633031.9913
z001000,4357806.2404
z001001,2758708.6987
z001002,3508117.3945
z001003,3997068.8054
z001004,4721843.0546
z001005,2968052.8463
z001006,3717461.5421
z001007,4147353.1529
z001008,4872127.4021
z001009,2518698.2624
z001010,3268106.9582
z001011,3474491.2348
z001012,4199265.484
z001013,2721677.6728
z001014,3471086.3686
z001015,3636925.2712
z001016,4361699.5204
z001017,3045169.113
z001018,3794577.8088
z001019,4000962.0854
z001020,4725736.3346
z001021,3235998.8345
z001022,3985407.5303
z001023,4151246.4329
z001024,4876020.6821
z001025,484816.1144
z001026,1640955.9526
z001027,3167817.8664
z001028,4193412.887
z001029,2007929.4062
z001030,3164069.2444
z001031,3591687.2854
z001032,4617282.306
z001033,1045661.9787
z001034,2201801.8169
z001035,3728663.7307
z001036,4754258.7513
z001037,2525573.6281
z001038,3681713.4663
z001039,4109331.5072
z001040,5134926.5279
z001041,1541394.5386
z001042,2695921.7962
z001043,3173625.599
z001044,4199220.6196
z001045,2469751.8161
z001046,3624279.0737
z001047,3595899.404
z001048,4621494.4246
z001049,2102240.4029
z001050,3256767.6605
z001051,3734471.4633
z001052,4760066.4839
z001053,2987396.038
z001054,4141923.2955
z001055,4113543.6258
z001056,5139138.6464
z001057,1007964.6068
z001058,2164104.445
z001059,3359030.8671
z001060,4384625.8878
z001061,2015806.6981
z001062,3171946.5363
z001063,3597194.7416
z001064,4622789.7622
z001065,1534435.4574
z001066,2690575.2956
z001067,3885501.7177
z001068,4911096.7383
z001069,2530127.8598
z001070,3686267.698
z001071,4111515.9033
z001072,5137110.9239
z001073,1825243.733
z001074,2979770.9906
z001075,3362924.1471
z001076,4388519.1677
z001077,2474940.4337
z001078,3629467.6913
z001079,3601088.0216
z001080,4626683.0422
z001081,2351714.5836
z001082,3506241.8411
z001083,3889394.9977
z001084,4914990.0183
z001085,2989261.5954
z001086,4143788.8529
z001087,4115409.1832
z001088,5141004.2039
z001089,971058.684
z001090,2127198.5222
z001091,3265554.5398
z001092,4291149.5604
z001093,2007929.4062
z001094,3164069.2444
z001095,3591687.2854
z001096,4617282.306
z001097,1531904.5483
z001098,2688044.3865
z001099,3826400.4041
z001100,4851995.4247
z001101,2525573.6281
z001102,3681713.4663
z001103,4109331.5072
z001104,5134926.5279
z001105,1954825.3453
z001106,3109352.6029
z001107,3271362.2723
z001108,4296957.2929
z001109,2469751.8161
z001110,3624279.0737
z001111,3595899.404
z001112,4621494.4246
z001113,2515671.2096
z001114,3670198.4672
z001115,3832208.1366
z001116,4857803.1572
z001117,2987396.038
z001118,4141923.2955
z001119,4113543.6258
z001120,5139138.6464
z001121,1376105.8443
z001122,2532245.6825
z001123,3434760.7052
z001124,4460355.7258
z001125,2015806.6981
z001126,3171946.5363
z001127,3597194.7416
z001128,4622789.7622
z001129,1902576.6948
z001130,3058716.5331
z001131,3961231.5557
z001132,4986826.5763
z001133,2530127.8598
z001134,3686267.698
z001135,4111515.9033
z001136,5137110.9239
z001137,2155533.3368
z001138,3310060.5944
z001139,3438653.9852
z001140,4464249.0058
z001141,2474940.4337
z001142,3629467.6913
z001143,3601088.0216
z001144,4626683.0422
z001145,2682004.1873
z001146,3836531.4449
z001147,3965124.8357
z001148,4990719.8563
z001149,2989261.5954
z001150,4143788.8529
z001151,4115409.1832
z001152,5141004.2039
z001153,1066659.4742
z001154,1671480.4351
z001155,3614997.592
z001156,4195184.1063
z001157,2589772.7661
z001158,3194593.727
z001159,4038867.011
z001160,4619053.5252
z001161,1627505.3385
z001162,2232326.2994
z001163,4175843.4563
z001164,4756029.9706
z001165,3107416.9879
z001166,3712237.9488
z001167,4556511.2328
z001168,5136697.7471
z001169,2103092.8183
z001170,2707913.7792
z001171,3620805.3245
z001172,4200991.8388
z001173,3031450.0958
z001174,3636271.0567
z001175,4043079.1296
z001176,4623265.6438
z001177,2663938.6826
z001178,3268759.6435
z001179,4181651.1888
z001180,4761837.7031
z001181,3549094.3177
z001182,4153915.2786
z001183,4560723.3514
z001184,5140909.8657
z001185,1589807.9667
z001186,2194628.9276
z001187,3806210.5927
z001188,4386397.107
z001189,2597650.058
z001190,3202471.0188
z001191,4044374.4672
z001192,4624560.9814
z001193,2116278.8172
z001194,2721099.7781
z001195,4332681.4433
z001196,4912867.9575
z001197,3111971.2196
z001198,3716792.1805
z001199,4558695.6289
z001200,5138882.1431
z001201,2386942.0128
z001202,2991762.9737
z001203,3810103.8727
z001204,4390290.3869
z001205,3036638.7135
z001206,3641459.6743
z001207,4048267.7472
z001208,4628454.2614
z001209,2913412.8633
z001210,3518233.8242
z001211,4336574.7232
z001212,4916761.2375
z001213,3550959.8751
z001214,4155780.836
z001215,4562588.9088
z001216,5142775.4231
z001217,1552902.0438
z001218,2157723.0047
z001219,3712734.2654
z001220,4292920.7796
z001221,2589772.7661
z001222,3194593.727
z001223,4038867.011
z001224,4619053.5252
z001225,2113747.9081
z001226,2718568.869
z001227,4273580.1297
z001228,4853766.6439
z001229,3107416.9879
z001230,3712237.9488
z001231,4556511.2328
z001232,5136697.7471
z001233,2516523.6251
z001234,3121344.586
z001235,3718541.9979
z001236,4298728.5122
z001237,3031450.0958
z001238,3636271.0567
z001239,4043079.1296
z001240,4623265.6438
z001241,3077369.4894
z001242,3682190.4503
z001243,4279387.8622
z001244,4859574.3765
z001245,3549094.3177
z001246,4153915.2786
z001247,4560723.3514
z001248,5140909.8657
z001249,1957949.2042
z001250,2562770.1651
z001251,3881940.4308
z001252,4462126.945
z001253,2597650.058
z001254,3202471.0188
z001255,4044374.4672
z001256,4624560.9814
z001257,2484420.0547
z001258,3089241.0156
z001259,4408411.2813
z001260,4988597.7956
z001261,3111971.2196
z001262,3716792.1805
z001263,4558695.6289
z001264,5138882.1431
z001265,2717231.6166
z001266,3322052.5774
z001267,3885833.7108
z001268,4466020.225
z001269,3036638.7135
z001270,3641459.6743
z001271,4048267.7472
z001272,4628454.2614
z001273,3243702.4671
z001274,3848523.428
z001275,4412304.5613
z001276,4992491.0755
z001277,3550959.8751
z001278,4155780.836
z001279,4562588.9088
z001280,5142775.4231
z001281,1475521.645
z001282,2631661.4832
z001283,3167817.8664
z001284,4193412.887
z001285,2256894.2224
