scenario,purchase_type,product,origin,entry_point,month,quantity_kg,unit_cost_usd_per_kg,total_purchase_cost_usd
dc_mdcp,wholesale_market,Asparagus,Lo Valledor,,Aug,13434.583,1.32,17733.64956
dc_mdcp,wholesale_market,Green Bell Pepper,Lo Valledor,,May,118448.24,1.1,130293.06400000001
dc_mdcp,wholesale_market,Green Bell Pepper,Lo Valledor,,Jun,118448.24,1.1,130293.06400000001
dc_mdcp,wholesale_market,Green Bell Pepper,Lo Valledor,,Jul,118448.24,1.1,130293.06400000001
dc_mdcp,wholesale_market,Green Bell Pepper,Lo Valledor,,Aug,118448.24,1.1,130293.06400000001
dc_mdcp,wholesale_market,Green Bell Pepper,Lo Valledor,,Sep,118448.24,1.1,130293.06400000001
dc_mdcp,wholesale_market,Green Bell Pepper,Lo Valledor,,Oct,118448.24,1.1,130293.06400000001
dc_mdcp,wholesale_market,Green Bell Pepper,Lo Valledor,,Nov,118448.24,1.1,130293.06400000001
dc_mdcp,wholesale_market,Green Bell Pepper,Lo Valledor,,Dec,118448.24,1.1,130293.06400000001
dc_mdcp,wholesale_market,Roma Tomatoes,Lo Valledor,,May,1632637.7,0.895,1461210.7415
dc_mdcp,wholesale_market,Roma Tomatoes,Lo Valledor,,Jun,1632637.7,0.895,1461210.7415
dc_mdcp,wholesale_market,Roma Tomatoes,Lo Valledor,,Jul,1632637.7,0.895,1461210.7415
dc_mdcp,wholesale_market,Roma Tomatoes,Lo Valledor,,Aug,1632637.7,0.895,1461210.7415
dc_mdcp,wholesale_market,Roma Tomatoes,Lo Valledor,,Sep,1632637.7,0.895,1461210.7415
dc_mdcp,wholesale_market,Roma Tomatoes,Lo Valledor,,Oct,1632637.7,0.895,1461210.7415
dc_mdcp,wholesale_market,Roma Tomatoes,Lo Valledor,,Nov,1632637.7,0.895,1461210.7415
