scenario,product,facility,facility_type,month,quantity_kg,last_mile_distance_km,revenue_usd
dc_ds,Green Bell Pepper,DC_Macul,DC,Jan,99767.979,10.0,626542.90812
dc_ds,Green Bell Pepper,DC_Macul,DC,Feb,99767.979,10.0,626542.90812
dc_ds,Green Bell Pepper,DC_Macul,DC,Mar,99767.979,10.0,626542.90812
dc_ds,Green Bell Pepper,DC_Macul,DC,Apr,99767.979,10.0,626542.90812
dc_ds,Green Bell Pepper,DC_Macul,DC,May,99767.979,10.0,626542.90812
dc_ds,Green Bell Pepper,DC_Macul,DC,Jun,99767.979,10.0,626542.90812
dc_ds,Green Bell Pepper,DC_Macul,DC,Jul,99767.979,10.0,626542.90812
dc_ds,Green Bell Pepper,DC_Macul,DC,Aug,99767.979,10.0,626542.90812
dc_ds,Green Bell Pepper,DC_Macul,DC,Sep,99767.979,10.0,626542.90812
dc_ds,Green Bell Pepper,DC_Macul,DC,Oct,99767.979,10.0,626542.90812
dc_ds,Green Bell Pepper,DC_Macul,DC,Nov,99767.979,10.0,626542.90812
dc_ds,Green Bell Pepper,DC_Macul,DC,Dec,99767.979,10.0,626542.90812
dc_ds,Green Bell Pepper,DC_Maipu,DC,Jan,17238.036,10.0,108254.86608
dc_ds,Green Bell Pepper,DC_Maipu,DC,Feb,17238.036,10.0,108254.86608
dc_ds,Green Bell Pepper,DC_Maipu,DC,Mar,17238.036,10.0,108254.86608
dc_ds,Green Bell Pepper,DC_Maipu,DC,Apr,17238.036,10.0,108254.86608
dc_ds,Green Bell Pepper,DC_Maipu,DC,May,17238.036,10.0,108254.86608
dc_ds,Green Bell Pepper,DC_Maipu,DC,Jun,17238.036,10.0,108254.86608
dc_ds,Green Bell Pepper,DC_Maipu,DC,Jul,17238.036,10.0,108254.86608
dc_ds,Green Bell Pepper,DC_Maipu,DC,Aug,17238.036,10.0,108254.86608
dc_ds,Green Bell Pepper,DC_Maipu,DC,Sep,17238.036,10.0,108254.86608
dc_ds,Green Bell Pepper,DC_Maipu,DC,Oct,17238.036,10.0,108254.86608
dc_ds,Green Bell Pepper,DC_Maipu,DC,Nov,17238.036,10.0,108254.86608
dc_ds,Green Bell Pepper,DC_Maipu,DC,Dec,17238.036,10.0,108254.86608
dc_ds,Roma Tomatoes,DC_Macul,DC,Jan,1375157.3,10.0,3327880.666
dc_ds,Roma Tomatoes,DC_Macul,DC,Feb,1375157.3,10.0,3327880.666
dc_ds,Roma Tomatoes,DC_Macul,DC,Mar,1375157.3,10.0,3327880.666
dc_ds,Roma Tomatoes,DC_Macul,DC,Apr,1375157.3,10.0,3327880.666
dc_ds,Roma Tomatoes,DC_Macul,DC,May,1375157.3,10.0,3327880.666
dc_ds,Roma Tomatoes,DC_Macul,DC,Jun,1375157.3,10.0,3327880.666
dc_ds,Roma Tomatoes,DC_Macul,DC,Jul,1375157.3,10.0,3327880.666
dc_ds,Roma Tomatoes,DC_Macul,DC,Aug,1375157.3,10.0,3327880.666
dc_ds,Roma Tomatoes,DC_Macul,DC,Sep,1375157.3,10.0,3327880.666
dc_ds,Roma Tomatoes,DC_Macul,DC,Oct,1375157.3,10.0,3327880.666
dc_ds,Roma Tomatoes,DC_Macul,DC,Nov,1375157.3,10.0,3327880.666
dc_ds,Roma Tomatoes,DC_Macul,DC,Dec,1375157.3,10.0,3327880.666
dc_ds,Roma Tomatoes,DC_Maipu,DC,Jan,237601.4,10.0,574995.3879999999
dc_ds,Roma Tomatoes,DC_Maipu,DC,Feb,237601.4,10.0,574995.3879999999
dc_ds,Roma Tomatoes,DC_Maipu,DC,Mar,237601.4,10.0,574995.3879999999
dc_ds,Roma Tomatoes,DC_Maipu,DC,Apr,237601.4,10.0,574995.3879999999
dc_ds,Roma Tomatoes,DC_Maipu,DC,May,237601.4,10.0,574995.3879999999
dc_ds,Roma Tomatoes,DC_Maipu,DC,Jun,237601.4,10.0,574995.3879999999
dc_ds,Roma Tomatoes,DC_Maipu,DC,Jul,237601.4,10.0,574995.3879999999
dc_ds,Roma Tomatoes,DC_Maipu,DC,Aug,237601.4,10.0,574995.3879999999
dc_ds,Roma Tomatoes,DC_Maipu,DC,Sep,237601.4,10.0,574995.3879999999
dc_ds,Roma Tomatoes,DC_Maipu,DC,Oct,237601.4,10.0,574995.3879999999
dc_ds,Roma Tomatoes,DC_Maipu,DC,Nov,237601.4,10.0,574995.3879999999
dc_ds,Roma Tomatoes,DC_Maipu,DC,Dec,237601.4,10.0,574995.3879999999
